Area,Nodo chiave,Principio non negoziabile,Criterio pastorale prioritario,Errore da evitare
Sacramenti,Sacramenti (in genere),I sacramenti sono azioni di Cristo che donano realmente la grazia,Presentarli come dono e incontro,Ridurre i sacramenti a riti simbolici
Sacramenti,Eucaristia,L’Eucaristia è presenza reale e centro della vita cristiana,Favorire fede e comunione ecclesiale,Trattarla come gesto sociale
Sacramenti,Confessione,La Confessione è incontro reale con la misericordia che perdona,Favorire fiducia e verità,Ridurre la Confessione a sfogo psicologico
Morale,Coscienza,"La coscienza riconosce il bene, non lo crea",Formarla alla verità,Assolutizzare il soggettivismo
Morale,Legge e libertà,La legge morale orienta la libertà al bene,Presentarla come guida alla vita,Viverla come imposizione
Morale,Gradualità,"La gradualità riguarda il cammino, non la legge",Accompagnare per tappe,Introdurre una gradualità della legge
Matrimonio,Vincolo,Il vincolo matrimoniale è reale e indissolubile,Custodire la pastorale del vincolo,Ridurlo a ideale revocabile
Matrimonio,Misericordia e giustizia,La misericordia compie la giustizia,Tenere unite verità e carità,Opporle tra loro
Matrimonio,Discernimento,Il discernimento mira alla conversione possibile,Accompagnare senza automatismi,Giustificare lo status quo
Ecclesiologia,Chiesa,La Chiesa è comunione e istituzione insieme,Tenere unite le due dimensioni,Opporre carisma e istituzione
Pastorale,Fragilità,Ogni persona è chiamata alla santità,Non scoraggiare il cammino,Normalizzare il disordine
Pastorale,Verità e carità,La carità pastorale non prescinde dalla verità,Unire accoglienza e chiarezza,Sacrificare la verità per quieto vivere
